network_name,poi_bank,poi_bar,poi_cafe,poi_cinema,poi_clothes,poi_college,poi_dentist,poi_department_store,poi_fast_food,poi_library,poi_marketplace,poi_pharmacy,poi_place_of_worship,poi_restaurant,poi_school,poi_station,poi_supermarket,poi_theatre,poi_townhall,poi_tram_stop,poi_university,lu_administration,lu_allotments,lu_animal_keeping,lu_apiary,lu_basin,lu_brownfield,lu_brownland,lu_cemetery,lu_civic_admin,lu_commercial,lu_construction,lu_depot,lu_education,lu_emergency,lu_fairground,lu_farmland,lu_farmyard,lu_flowerbed,lu_forest,lu_garages,lu_garden,lu_grass,lu_greenery,lu_greenfield,lu_greenhouse_horticulture,lu_harbour,lu_hedge,lu_highway,lu_historic,lu_hydro,lu_industrial,lu_institutional,lu_landfill,lu_locality,lu_logistics,lu_meadow,lu_military,lu_nature,lu_orchard,lu_paddock,lu_park,lu_plant_nursery,lu_plantation,lu_proposed,lu_quarry,lu_railway,lu_recreation_ground,lu_religious,lu_reservoir,lu_residential,lu_retail,lu_sand,lu_schoolyard,lu_scrub,lu_shelter,lu_sports,lu_storage,lu_street,lu_traffic_green,lu_traffic_island,lu_village_green,lu_vineyard,lu_wholesale,lu_winter_sports,lu_yes,h_n_lends_00,h_n_lends_01,h_n_lends_02,h_n_lends_03,h_n_lends_04,h_n_lends_05,h_n_lends_06,h_n_lends_07,h_n_lends_08,h_n_lends_09,h_n_lends_10,h_n_lends_11,h_n_lends_12,h_n_lends_13,h_n_lends_14,h_n_lends_15,h_n_lends_16,h_n_lends_17,h_n_lends_18,h_n_lends_19,h_n_lends_20,h_n_lends_21,h_n_lends_22,h_n_lends_23,h_n_returns_00,h_n_returns_01,h_n_returns_02,h_n_returns_03,h_n_returns_04,h_n_returns_05,h_n_returns_06,h_n_returns_07,h_n_returns_08,h_n_returns_09,h_n_returns_10,h_n_returns_11,h_n_returns_12,h_n_returns_13,h_n_returns_14,h_n_returns_15,h_n_returns_16,h_n_returns_17,h_n_returns_18,h_n_returns_19,h_n_returns_20,h_n_returns_21,h_n_returns_22,h_n_returns_23,w_n_lends_Mo,w_n_lends_Di,w_n_lends_Mi,w_n_lends_Do,w_n_lends_Fr,w_n_lends_Sa,w_n_lends_So,w_n_returns_Mo,w_n_returns_Di,w_n_returns_Mi,w_n_returns_Do,w_n_returns_Fr,w_n_returns_Sa,w_n_returns_So,commuter_ratio,latitude,longitude,population,state_Baden-Württemberg,state_Hessen,state_Niedersachsen,state_Nordrhein-Westfalen,state_Rheinland-Pfalz
Bochum,0.04081632653061224,0.02040816326530612,0.1326530612244898,0.0,0.04081632653061224,0.0,0.061224489795918366,0.0,0.08163265306122448,0.16326530612244897,0.030612244897959183,0.030612244897959183,0.01020408163265306,0.16326530612244897,0.01020408163265306,0.02040816326530612,0.05102040816326531,0.0,0.0,0.1326530612244898,0.01020408163265306,0.0,0.023848035449345342,2.9087100601102357e-05,0.0,0.001102011257155852,0.003101868315622879,0.0,0.019809385538621865,0.0001782995027911299,0.03242673937453814,0.008761557273486783,0.0002625414971936381,0.0041654552916899935,0.0,0.0,0.13327874008969373,0.008420848340827958,9.577729703632942e-06,0.17199699996971568,0.00011558804568717528,3.563999303690203e-06,0.04076095958333824,0.0,0.0002834443945837839,4.343987048896569e-05,0.0,0.0,0.0,0.0,0.0,0.0811511692313531,0.0,0.00705015743407025,0.0,0.0,0.06194758892115361,0.0,0.0,0.00040637610369268233,5.9177872068953765e-05,0.0,0.0004068710267922639,0.0,0.0,0.000387239998820037,0.015008902436166056,0.003439497112343526,0.001628518192304494,7.6284515739963304e-06,0.3645083412224029,0.01482578365425442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5428329026059993e-06,0.0005485296306132599,2.4533255098249162e-05,0.0,0.0,0.0,0.03907931450349545,0.0372841526765399,0.03862949555930617,0.03936299484837992,0.038892983991918054,0.047049938767755206,0.04532444419004384,0.04675564393551615,0.04676924581721669,0.04809484256303255,0.047544143276124835,0.0432136070751891,0.043165144185500375,0.041399483511713554,0.04131196528373508,0.04098492134603351,0.041172767693578034,0.03977590583194105,0.039635279973750596,0.038729773132373205,0.03826085941053188,0.03876724153611315,0.038698939854267735,0.04009691103594376,0.042021078292996,0.042887232032061136,0.03867627406976923,0.03598495795834707,0.034061422285451434,0.03449404021728464,0.043424898593968954,0.04353312844937582,0.048559998033221745,0.04558476249310329,0.044994526235126425,0.04806258683401973,0.04163074157512159,0.04171347527329737,0.03951481820570684,0.040516890704775405,0.04158140137101641,0.04216793204801249,0.04215955396428713,0.04176715450258159,0.042060572840651726,0.041834853455683385,0.04135416362366731,0.041413536940473304,0.14304312393557952,0.14223568100600192,0.14132899336886628,0.1409018000302884,0.14662492903983015,0.15197373543020493,0.13389173718922873,0.14246633856553928,0.1434776610616982,0.1425992043298468,0.14158723946879234,0.1470340879569641,0.1491225518702451,0.133712916746914,0.99372381435637,51.468,7.246,358676,False,False,False,True,False
Braunschweig,0.028037383177570093,0.009345794392523364,0.08411214953271028,0.0,0.1308411214953271,0.0,0.07476635514018691,0.0,0.09345794392523364,0.018691588785046728,0.018691588785046728,0.037383177570093455,0.0,0.1588785046728972,0.0,0.0,0.028037383177570093,0.009345794392523364,0.0,0.2897196261682243,0.018691588785046728,0.0,0.02366403978341347,5.186663263979007e-05,0.0,9.885802830328545e-05,0.0005089441639260099,0.0,0.006399289280668107,0.00017282837764047662,0.06991330471592505,0.0023829452440542968,0.0,0.00040650001473423826,5.4056053813813235e-06,1.9102699743352082e-05,0.35419019228816057,0.0014110177739683441,2.9745929053969848e-05,0.15564393170901672,0.0006455999063939401,0.0,0.019182987327749153,1.3589510735316175e-06,0.003023754847914037,0.0004252233406362294,0.0,0.0,0.0,0.0,0.0,0.03382843513354419,0.0,0.0017886004423170575,0.0,0.0,0.059082321215042526,0.0,0.00032351151507852753,0.0005541896849464264,0.0,3.5766837282533544e-05,0.00331504601052554,0.0,0.0016157380908997426,0.0010002974611779717,0.012345213608885602,0.01922429944038451,2.650143336591311e-05,1.4574750263626597e-05,0.22407472083761726,0.003825915355139053,3.008377939030618e-05,0.0,0.0,0.0,0.0,0.0,3.16560102851004e-05,0.0,0.0,0.0003149255866986729,0.0,0.00039130618675933614,0.0,0.0,0.041389890172372504,0.04083166947444917,0.03725590726956265,0.04058503955724526,0.04208353746140955,0.04491625051732219,0.041989271713581064,0.04271310981192128,0.04574082580350942,0.04745177509345603,0.04878206679869155,0.04493243961192248,0.043462763129297075,0.04193801983705381,0.04051961828215654,0.04105135769742045,0.039296944005594615,0.03955514566393759,0.03899607142759332,0.03835629294223343,0.03839290963742142,0.040527197821608386,0.03955678248001007,0.03967511379023025,0.04309414336700195,0.04227275186987173,0.04299943609796548,0.03683670090753107,0.035860110034248834,0.03240271796128691,0.036687854636267885,0.04236857973391943,0.04441564261760819,0.04521124761512791,0.04593957250687228,0.04676950523507334,0.04378739170177606,0.04135014168643771,0.04099964971057494,0.04081754733473278,0.04136317350800843,0.041166207980274365,0.04170767545501026,0.041834868321521564,0.04230476813883792,0.04246885966491213,0.04337107827128808,0.04397037564385071,0.14336499352450013,0.14395377407500173,0.14475747869866049,0.14456799803679543,0.14355965765153522,0.14154060480628416,0.13825549320722283,0.1435041445528893,0.14352432381283065,0.14482786710897583,0.14367865591368273,0.14405968797565785,0.1410189208581762,0.1393863997777874,1.0291004184796466,52.264,10.526,252962,False,False,True,False,False
Dortmund,0.05,0.0,0.0625,0.0,0.0875,0.0125,0.0625,0.0125,0.1375,0.025,0.0,0.0375,0.0,0.225,0.0,0.0375,0.0375,0.0,0.0,0.2,0.0125,0.0,0.022162399181787605,6.855338958025361e-06,0.0,2.6598774549288787e-05,0.010109568509880377,0.0,0.014920148575284616,4.450847749745901e-05,0.03080445595666253,0.00566348252579148,0.0,0.0009376416957507801,0.0,0.0,0.2054495226009954,0.007184240808419581,1.10484247751065e-05,0.19012421265422402,0.0006439816625904202,0.0,0.029031218673146283,0.0,0.000470659034929762,5.987471160545218e-05,0.0,0.0,0.0,0.0,0.0,0.05281744230573014,0.0,0.0036375004615141287,0.0,0.00026170705625399096,0.042605781658947905,4.680101450226541e-06,0.0,0.0002883177092333564,3.413860804048497e-05,0.0,1.0984578213444147e-05,0.0,0.0,0.0005020982697353129,0.014934136911503712,0.0017204525098628313,0.0,0.0,0.35961829609283663,0.005566664411843679,0.0,2.4742769849801737e-05,0.0,0.0,0.0,0.0,0.0,8.017940301784049e-07,0.0,0.0003181741432311849,3.6630108749076388e-06,0.0,0.0,0.0,0.03963218732919833,0.03557921484396596,0.03705059458030038,0.043930727487242596,0.047700104819887956,0.048570469236715826,0.046863661905714525,0.04581040670925632,0.04437291158482967,0.044077955196122336,0.04107814977766357,0.04072427467649025,0.03911356608412713,0.04081144588689932,0.04118896836436875,0.04068172685058208,0.039694869455208594,0.03965511899226295,0.03996180337438761,0.04054394308916113,0.04314290653163066,0.04337689630637015,0.0373466134267826,0.0390914834908313,0.04272722489925609,0.043227120292856726,0.039746599510115214,0.031561228980284045,0.04054182064078172,0.04480438691458781,0.04397297742693167,0.0443831045372956,0.04539559486080703,0.04287386671379868,0.04086114800243176,0.0388246507931006,0.03932000623264544,0.03941418057062494,0.03893544542236669,0.03993529072973958,0.04069249622674418,0.04138330170208003,0.041624686198297775,0.04178597494534544,0.0422758249326304,0.04735129861686399,0.04551742394525956,0.04284434690515515,0.1454315807123372,0.14338940184879972,0.14198314508300738,0.14239110010695955,0.14671747914711852,0.14243013458714607,0.13765715851463162,0.14466761014414228,0.14322450877478926,0.14263333275172096,0.14244990022872084,0.14678319741032364,0.14136880202303684,0.1388726486672662,1.0266778780116672,51.508,7.46,603462,False,False,False,True,False
Duisburg,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.06666666666666667,0.0,0.16666666666666666,0.0,0.0,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0,0.03333333333333333,0.0,0.1,0.26666666666666666,0.0,0.0,0.015368873065238936,0.0,0.0,0.0007737038979639205,0.005999009576372986,0.0,0.014762975366148524,0.0001339975608889177,0.027459600377781848,0.00803574750474,0.0,0.0003073601103456303,0.0,0.0,0.10896390030387375,0.003911121240999709,2.8856997736115227e-06,0.1837109463867089,8.067093188777689e-05,0.0,0.02132779163303739,0.0,6.327218408076628e-05,7.817856953553663e-05,0.0001828081616456232,0.0,0.0,0.0,0.0,0.12703951380612696,0.0,0.0058134443767270975,0.0,0.0,0.07472396599872225,1.178174238780246e-06,0.0,0.00032173898252968317,6.125403226457172e-05,0.0,0.0012707022720944991,0.0,0.0,4.760485613792257e-07,0.016909028013200742,0.041812376278149495,6.522049093428743e-05,0.0,0.3366225176535073,0.00326169910201177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008194211020843277,0.0,0.0,0.0,0.00011462109782304978,0.03832783745671265,0.03628123233666468,0.03756722000509871,0.04141985006396391,0.03994709681170622,0.04434540762829016,0.04398638095402095,0.042437163230728825,0.04213989792794854,0.043756641439238575,0.04358769389236437,0.043159737655482526,0.042682573484400084,0.04327340773202395,0.04345933465572793,0.043833753260089446,0.04277426401509155,0.04281960609060588,0.04283822461954035,0.042301673017977076,0.04127885595770378,0.04002331950905526,0.039637957049372105,0.03812087120619233,0.042472013013968274,0.04348306087103089,0.036849529320550786,0.03386823471330295,0.03640119602024093,0.039209689814289926,0.041227130741222966,0.04170773518431665,0.04313207552640684,0.04047693413101492,0.04135676210808934,0.04237323570954995,0.04167050951492633,0.04099695392750941,0.041571337759147106,0.042652034428948646,0.04367330394505598,0.04348913984761407,0.04340383402453997,0.04436612295714768,0.04421806421497701,0.04404429994847877,0.04362406847167977,0.04373273380599079,0.14349809471714065,0.14298347529333436,0.14279199670297135,0.14161049178026042,0.14461567594821226,0.14441039980013456,0.14008986575794646,0.14371494532553525,0.14303450051368632,0.14309363382931192,0.14168009612800547,0.14451308611491026,0.14419477088094887,0.1397689672076018,1.0048118424612678,51.43,6.767,502270,False,False,False,True,False
Essen,0.034782608695652174,0.02608695652173913,0.08695652173913043,0.008695652173913044,0.11304347826086956,0.0,0.05217391304347826,0.0,0.16521739130434782,0.0,0.017391304347826087,0.0782608695652174,0.0,0.16521739130434782,0.0,0.05217391304347826,0.008695652173913044,0.0,0.0,0.19130434782608696,0.0,0.0,0.02077926420670693,1.0958689868556938e-05,0.0,0.001126312198433892,0.0038505699471661197,0.0,0.015266499960785504,0.0,0.04379219889707355,0.0034725023658641915,0.0,0.0004381941875224443,0.0,0.0,0.10078931227131856,0.010485340160621184,1.7670706933965904e-05,0.22330302521636405,0.00010558206785251143,0.0,0.05263493034893507,0.0,0.00043978962260870987,0.0002024343625011016,0.0,0.0,2.9636470080957428e-05,0.0,0.0,0.035788577865837445,0.0,7.708081119831986e-05,2.9993818663627756e-05,0.00012383211264020046,0.05113032677513738,0.0,0.0,0.0009975367637334183,0.0,0.0,0.002580778683208445,0.0,0.0,9.821671650969508e-06,0.009996909620580412,0.010287482747643578,0.0001483880965584458,1.0812501812009984e-05,0.4028278206166135,0.008766756977436821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047965925664795415,0.0,0.0,0.0,0.0,0.037701101510018264,0.03637122047421739,0.037956149273912526,0.0381245039412119,0.04912267600373415,0.050855079469694586,0.04806549044557642,0.047465719107938946,0.049033804854868676,0.04984184159339515,0.0471759919431438,0.04535424909374939,0.04034007753843211,0.03834282861552624,0.03987183148201628,0.038785229641430795,0.03761491693684577,0.037053236278156265,0.03757249967871884,0.03888837544231475,0.03816623099034788,0.03804484203892728,0.04008246356696717,0.0381696400788555,0.04182391832290384,0.04089962585934527,0.039761997137984825,0.03585890495317074,0.040750911603545305,0.04626073429786567,0.04530681270813349,0.047562912150685754,0.04690095453326461,0.04759767183171545,0.04625685930934463,0.04579304579275867,0.04201939266963565,0.03875905199972554,0.03661450425777215,0.03735463608380032,0.038707431578885704,0.039353056050327,0.03940517262729198,0.038923832655078136,0.04066548234054187,0.04058705935651081,0.040243757401292594,0.04259227447842001,0.14716026743361255,0.14686293759657332,0.14417688024874076,0.14298383831648873,0.1484770781212819,0.13704805261979905,0.1332909456635035,0.1475666334546908,0.14706345251086037,0.14473804010009364,0.14384319588808306,0.14790213531045987,0.13570806413922556,0.13317847859658685,1.0780911092659287,51.447,7.007,574682,False,False,False,True,False
Freiburg,0.023809523809523808,0.015873015873015872,0.1111111111111111,0.007936507936507936,0.031746031746031744,0.007936507936507936,0.05555555555555555,0.0,0.0873015873015873,0.007936507936507936,0.015873015873015872,0.047619047619047616,0.007936507936507936,0.1746031746031746,0.0,0.0,0.07936507936507936,0.0,0.0,0.3253968253968254,0.0,0.0,0.009435045542434697,0.0,0.0,0.00015268911980988783,0.000575259244587273,0.0,0.002880261043806061,0.0,0.017986180205871147,0.005465742491097678,0.00018224154073132403,0.0024388169211447056,0.0,0.0,0.10336311941275297,0.003211780507855114,8.925682104216502e-06,0.5010258164113147,2.0242344598755354e-05,0.0,0.03424343499702173,0.0,0.00024829932453836943,0.0006454462442756841,0.0,2.441749438044059e-07,7.332259277865175e-05,0.0,0.0,0.024652828257220316,0.0,0.0013294600418039594,0.0,0.0,0.07776112029204871,2.9296158109126644e-05,0.0,0.006322656324576482,0.0,0.0,0.00038524762198082667,0.0,0.0,8.536452738350073e-06,0.0052242292959381095,0.01497622116815203,0.00020808540359537448,0.0,0.1305656321034737,0.002316504614888306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002283325833415319,0.054034981880466425,0.0,0.0,0.0,0.03784047094409394,0.036968578643395505,0.03644791258603964,0.03728320021516298,0.03933284639735723,0.0463606578992035,0.04414258062050288,0.04316098086534068,0.041985580047274325,0.04385124420472986,0.0457972453086605,0.04561815660157663,0.043536136129638504,0.04321858107671698,0.044067626743654664,0.04464103155950091,0.043610058288525384,0.041630164034508185,0.04154287406225896,0.040304653844426046,0.04176207375009289,0.040114042889851174,0.038744424703830445,0.038038878583658384,0.041247037631258164,0.04226193592974525,0.03839852103604416,0.034905391528169946,0.03376495866842452,0.03600471189962733,0.03974794232741742,0.04153115378979273,0.043076860354854106,0.04169293704606672,0.04301650361119409,0.04516217124165509,0.04376289369162551,0.04212606560714799,0.041762478490055294,0.04304864921024235,0.04421270934051438,0.044358311353394096,0.043318822236850345,0.04384714142909483,0.04278267562363668,0.044239311785116336,0.04381093009392058,0.041919886074151945,0.14160489521438793,0.1427092384058178,0.1411124356807898,0.14233240189688656,0.14540625756926928,0.1457668766987822,0.14106789453406654,0.1415477268625762,0.14211130622878523,0.1411853188394721,0.1423763581381516,0.14460022245372403,0.14540292394995005,0.14277614352734075,0.9930503731143798,47.997,7.834,237460,True,False,False,False,False
Gießen,0.0,0.05555555555555555,0.2222222222222222,0.0,0.1388888888888889,0.0,0.05555555555555555,0.0,0.1111111111111111,0.027777777777777776,0.027777777777777776,0.0,0.0,0.3055555555555556,0.0,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.01447959771999728,0.0,0.0,0.00014158970318136255,0.004356120882480269,0.0,0.005157820937468309,0.001980598771892226,0.007402702025427434,0.0009156918825273044,0.0,0.0,0.0,0.0,0.11415492226044464,0.0018711627401814868,4.075752499075571e-06,0.4925295057016916,1.358891886441504e-05,0.0,0.004292704389179251,0.0,0.00028845065138417955,0.0003872657244308498,0.0,0.0,0.0,0.0,0.0,0.04410356085525443,0.0,0.0008186677403635801,0.0,0.0,0.12192748382380915,0.0,0.0,0.009455718103047857,0.0,0.0,0.0013530205872582376,0.0,0.0,0.0070568908119752905,0.003387250353812705,0.0006814722799671779,3.933124240614149e-05,0.0,0.15848333264173245,0.004501172436595162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021630106212817702,0.0,0.0,0.0,0.0,0.03671020274864703,0.03667715849179677,0.036747618166645464,0.042139510648470685,0.05863586885404131,0.05616870381536955,0.04448763328821965,0.0428317700029976,0.03929069508837178,0.041582827340735436,0.04285126827233243,0.04444900755514175,0.041466804082331755,0.04237176862057858,0.041453192153669396,0.04208653903243535,0.040800322771662845,0.03967012936794381,0.038819871292885236,0.03741846197949936,0.03802492156103141,0.03779960405604867,0.038829949980953724,0.038686170828190425,0.04180652711786973,0.04079800590343032,0.03798379565439614,0.03509829738932925,0.03692282894143808,0.04107999502252451,0.042425318088307476,0.04096430771956968,0.043764293777419576,0.04302335490149177,0.04292082702064776,0.0442248278505488,0.04430031465152366,0.04301869743514165,0.0421294490181228,0.04231834944721691,0.04290150391182884,0.04254560902831688,0.04239654778411161,0.04127082362542889,0.04067434444054447,0.0414649132208864,0.043333291464583173,0.04263377658532157,0.1442364640350133,0.14734689081678357,0.144605232693633,0.14756549320190457,0.14079809416342037,0.14084260760026066,0.13460521748898463,0.14396092739756522,0.1475352240575423,0.144727028380963,0.14738740389356417,0.14036086278417256,0.14045812949571743,0.13557042399047536,1.0513335855900814,50.584,8.678,89179,False,True,False,False,False
